balance_sheet,ratios,income_statement,cash_flow
Total Assets,Current Ratio,Total Revenue,Free Cash Flow
Total Non Current Assets,Quick Ratio,Cost Of Revenue,Capital Expenditure
Current Assets,Gross Profit,Gross Profit
Stockholders Equity,Net Profit,EBITDA
Total Liabilities Net Minority Interest,ROA,EBIT
Total Non Current Liabilities Net Minority Interest,ROE,Net Income
Current Liabilities,Asset Turnover,Interest Expense
Inventory,Debt To Equity,Basic EPS
Accounts Receivable,Interest Cover
Accounts Payable
Share Issued
Cash And Cash Equivalents
Total Debt
